##analysisDate=2021-10-26-11-55-02-000																																																																				
##analyzedBy=Romero García,Raquel																																																																				
##exportDate=2021-10-27-07-54-14-496																																																																				
##analysisName=Caso5																																																																				
##workflowName=Oncomine Focus - 520 - w3.1 - DNA and Fusions - Single Sample																																																																				
##analysisDate=2021-10-26-11-55-02-000																																																																				
##reference=hg19																																																																				
##variantGroup=DEFAULT																																																																				
##filterChain=asistencial_OFA_DNA_CNVs																																																																				
##searchText=																																																																				
##chromosome=All																																																																				
##totalVariantCount=1726																																																																				
##filterInCount=47																																																																				
##filteredOutCount=1679																																																																				
##hiddenVariantCount=0																																																																				
Locus	Genotype	Filter	Ref	Observed Allele	Type	Subtype	No Call Reason	CNV P-Value	Genes	Location	Length	Oncomine Variant Class	Oncomine Gene Class	Copy Number	CytoBand	Info	Variant ID	Variant Name	Allele Frequency %	Amino Acid Change	Read Counts	Coverage	Allele Ratio	CNV Confidence	Genes (Exons)	Detection	3'/5' Imbalance	Ratio To Wild Type	Norm Count Within Gene	COSMIC/NCBI	Read Counts Per Million	Strand	Exon	Transcript	Coding	Variant Effect	PhyloP	SIFT	Grantham	PolyPhen	PFAM	dbSNP	DGV	MAF	EMAF	AMAF	GMAF	UCSC Common SNPs	ExAC LAF	ExAC EAAF	ExAC OAF	ExAC EFAF	ExAC SAAF	ExAC ENFAF	ExAC AAF	ExAC GAF	Gene Ontology	DrugBank	ClinVar	P-Value	Phred QUAL Score	Raw Coverage	Allele Coverage	CNV Precision	Ref+/Ref-/Var+/Var-	Homopolymer Length	Tiles	Subset of
chr7:55198956		PASS		<CNV>	CNV			0,001263	EGFR		60582			3,13	7p11.2(55198956-55259538)x3.13333	HS	EGFR							5%:2.5, 95%:3.92	EGFR	Present																	dgv2348n166,dgv3807e59,dgv6355n100,dgv6356n100,dgv6357n100,dgv6358n100,dgv6359n100,esv2590945,esv26220,esv2734425,esv3613234,esv3677179,esv5645,nsv1015816,nsv1030676,nsv3400912,nsv3405242,nsv3405752,nsv3407374,nsv3407764,nsv3408403,nsv3410972,nsv3412319,nsv3415023,nsv3415087,nsv366872,nsv4133629,nsv4135748,nsv4139204,nsv4142040,nsv4151732,nsv515544,nsv607031																		100						10	
chr7:92245595		PASS		<CNV>	CNV			0,01613	CDK6		196704			2,8	7q21.2(92245595-92442299)x2.8	HS	CDK6							5%:2.23, 95%:3.51	CDK6	Present																	esv2762687,esv3576407,esv3614146,esv3614148,esv3667780,esv3688418,esv3688419,nsv3414999,nsv4137721,nsv4138379,nsv4139167,nsv4146079,nsv4481969,nsv4484129,nsv4490836,nsv4493750,nsv4495263,nsv4543176,nsv4551173,nsv4564090,nsv4572585,nsv473626,nsv516592,nsv831062																		100						10	
chr7:116313480		PASS		<CNV>	CNV			0,02605	MET		121085			2,73	7q31.2(116313480-116434565)x2.73333	HS	MET							5%:2.17, 95%:3.43	MET	Present																	esv1092803,esv274927,esv3667819,esv3688631,nsv1018515,nsv1024485,nsv1110498,nsv1146334,nsv3401224,nsv366908,nsv4157380,nsv4162787,nsv4479861,nsv4487447,nsv4490637,nsv4525183,nsv4551255,nsv4552390,nsv7405,nsv831107																		100						10	
chr7:128845493		PASS		<CNV>	CNV			0,2444	SMO		4870			2,59	7q32.1(128845493-128850363)x2.58889		SMO							5%:1.79, 95%:3.7	SMO	Present																																			100						4	
chr7:140434390		PASS		<CNV>	CNV			0,1213	BRAF		73475			2,49	7q34(140434390-140507865)x2.48889	HS	BRAF							5%:1.97, 95%:3.13	BRAF	Present																	esv3615242,esv3688827,nsv1015269,nsv1033652,nsv1124273,nsv3405740,nsv4152622,nsv4164608,nsv4480176,nsv4482346,nsv4495376,nsv831158																		100						10	
chr8:38271445		PASS		<CNV>	CNV			0,5123	FGFR1		43644			1,82	8p11.23p11.22(38271445-38315089)x1.82222	HS	FGFR1							5%:1.43, 95%:2.3	FGFR1	Present																	esv3616926,nsv1017064,nsv4163696,nsv4171253,nsv951128,nsv971299																		100						10	
chr8:128748885		PASS		<CNV>	CNV			0,2586	MYC		4376			1,7	8q24.21(128748885-128753261)x1.7	HS	MYC							5%:1.33, 95%:2.15	MYC	Present																	esv2752208,esv3618781,nsv4164863,nsv4169112,nsv499795,nsv516713,nsv7419,nsv831458																		100						10	
chr9:5073730		PASS		<CNV>	CNV			0,1328	JAK2		127			3,87	9p24.1(5073730-5073857)x3.86667		JAK2							5%:1.88, 95%:7.75	JAK2	Present																																			100						1	
chr9:80409376		PASS		<CNV>	CNV			0,739	GNAQ		3169			1,8	9q21.2(80409376-80412545)x1.8		GNAQ							5%:1.04, 95%:3.02	GNAQ	Present																																			100						2	
chr10:43609067		PASS		<CNV>	CNV			0,01045	RET		8366			1,18	10q11.21(43609067-43617433)x1.17778		RET							5%:0.82, 95%:1.66	RET	Present																																			100						5	
chr10:123247505		PASS		<CNV>	CNV			0,01595	FGFR2		106961			1,41	10q26.13(123247505-123354466)x1.41111	HS	FGFR2							5%:1.1, 95%:1.79	FGFR2	Present																	dgv981n100,dgv982n100,esv1049168,esv2676868,esv3624751,esv3652154,esv3675952,nsv1035944,nsv1039943,nsv1043313,nsv1113340,nsv3325693,nsv3326150,nsv3326151,nsv3326764,nsv3326765,nsv4202854,nsv4206732,nsv4210560,nsv4211301,nsv428239,nsv4495438,nsv4527504,nsv4552340,nsv4573697,nsv472204,nsv474251																		100						10	
chr11:533813		PASS		<CNV>	CNV			0,9379	HRAS		538			2,06	11p15.5(533813-534351)x2.05556		HRAS							5%:1.2, 95%:3.43	HRAS	Present																																			100						2	
chr11:69456942		PASS		<CNV>	CNV			0,01501	CCND1		10097			1,4	11q13.3(69456942-69467039)x1.4	HS	CCND1							5%:1.09, 95%:1.78	CCND1	Present																	dgv16n68,esv2675336,nsv1070970,nsv1112608,nsv4210110,nsv555326,nsv825973,nsv825974																		100						10	
chr11:102234187		PASS		<CNV>	CNV			0,7447	BIRC2		14090			1,88	11q22.2(102234187-102248277)x1.87778		BIRC2							5%:1.34, 95%:2.61	BIRC2	Present																																			100						5	
chr12:25364761		PASS		<CNV>	CNV			9,757E-07	KRAS		35513			3,94	12p12.1(25364761-25400274)x3.94444	HS	KRAS							5%:3.15, 95%:4.92	KRAS	Present																	esv3580196,nsv1048631,nsv4208188,nsv4527766,nsv470279,nsv522233,nsv557798																		100						10	
chr12:56477590		PASS		<CNV>	CNV			5,918E-05	ERBB3		5062			4,38	12q13.2(56477590-56482652)x4.37778		ERBB3							5%:3.19, 95%:5.98	ERBB3	Present																																			100						5	
chr12:58142052		PASS		<CNV>	CNV			1,094E-10	CDK4		3974			4,87	12q14.1(58142052-58146026)x4.86667	HS	CDK4							5%:3.9, 95%:6.06	CDK4	Present																	nsv470296,nsv470297,nsv510601,nsv559045,nsv826384,nsv826386																		100						10	
chr14:105246446		PASS		<CNV>	CNV			0,1403	AKT1		137			3,82	14q32.33(105246446-105246583)x3.82222		AKT1							5%:1.85, 95%:7.66	AKT1	Present																																			100						1	
chr15:66727414		PASS		<CNV>	CNV			0,9652	MAP2K1		46785			1,98	15q22.31(66727414-66774199)x1.97778		MAP2K1							5%:1.27, 95%:3.01	MAP2K1	Present																																			100						3	
chr15:90631825		PASS		<CNV>	CNV			0,6016	IDH2		129			1,58	15q26.1(90631825-90631954)x1.57778		IDH2							5%:0.7, 95%:3.29	IDH2	Present																																			100						1	
chr17:29422233		PASS		<CNV>	CNV			0,01452	NF1		263294			3,42	17q11.2(29422233-29685527)x3.42222		NF1							5%:2.39, 95%:4.87	NF1	Present																																			100						4	
chr17:37868126		PASS		<CNV>	CNV			0,1608	ERBB2		15123			2,43	17q12(37868126-37883249)x2.43333	HS	ERBB2							5%:1.93, 95%:3.06	ERBB2	Present																	dgv40n68,esv275276,nsv1056234,nsv1146669,nsv2048,nsv4259385,nsv4262542,nsv574993																		100						10	
chr17:41203048		PASS		<CNV>	CNV			0,2125	BRCA1		73073			2,57	17q21.31(41203048-41276121)x2.56667		BRCA1							5%:1.85, 95%:3.54	BRCA1	Present																																			100						5	
chr19:3114967		PASS		<CNV>	CNV			0,0867	GNA11		4006			3,41	19p13.3(3114967-3118973)x3.41111		GNA11							5%:2.04, 95%:5.6	GNA11	Present																																			100						2	
chr19:4117518		PASS		<CNV>	CNV			0,9044	MAP2K2		127			2,11	19p13.3(4117518-4117645)x2.11111		MAP2K2							5%:0.98, 95%:4.32	MAP2K2	Present																																			100						1	
chr19:17945894		PASS		<CNV>	CNV			0,7621	JAK3		3297			2,17	19p13.11(17945894-17949191)x2.16667		JAK3							5%:1.4, 95%:3.29	JAK3	Present																																			100						3	
chrX:66776186		PASS		<CNV>	CNV			1,171E-06	AR		169044			1	Xq12(66776186-66945230)x1	HS	AR							5%:0.78, 95%:1.27	AR	Present																	esv1584074,esv2758871,esv3558939,esv3574017,esv3670656,nsv4033697,nsv4036542,nsv4037525,nsv4040244,nsv4046117,nsv4573618,nsv4575493,nsv4578105,nsv818030																		100						11	
chrX:70339117		PASS		<CNV>	CNV			0,001076	MED12		10151			0,64	Xq13.1(70339117-70349268)x0.644444		MED12							5%:0.32, 95%:1.17	MED12	Present																																			100						2	
